,action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
13,,,5138912,[],CHEMBL1648128,Inhibition of ASK1 assessed as phosphorylated fluorescent peptide by mobility shift assay,B,,,BAO_0000190,BAO_0000357,single protein format,c1nc(N2CCCCC2)c2nc[nH]c2n1,,,CHEMBL1641590,Bioorg Med Chem,2011.0,"{'bei': '23.47', 'le': '0.43', 'lle': '3.43', 'sei': '8.27'}",CHEMBL264666,,CHEMBL264666,4.77,0,http://www.openphacts.org/units/Nanomolar,1318002,=,1,1,=,,IC50,nM,,17000.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,uM,UO_0000065,,17.0
14,,,5293784,[],CHEMBL1696297,Inhibition of ASK1,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1nccc(-c2ccc3c(N)n[nH]c3c2)n1,,,CHEMBL1687694,ACS Med Chem Lett,2010.0,"{'bei': '23.18', 'le': '0.42', 'lle': '4.06', 'sei': '4.92'}",CHEMBL1688215,,CHEMBL1688215,5.25,0,http://www.openphacts.org/units/Nanomolar,1336848,=,1,1,=,,IC50,nM,,5690.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,uM,UO_0000065,,5.69
15,,,6169212,[],CHEMBL1769080,Inhibition of ASK1,B,,,BAO_0000190,BAO_0000357,single protein format,CNc1nc(-c2ccc3c(N)n[nH]c3c2)cc(N2C[C@@H](C(=O)NC3CCCCC3)CC[C@H]2C)n1,,,CHEMBL1765070,J Med Chem,2011.0,,CHEMBL1765740,,CHEMBL1765740,,0,http://www.openphacts.org/units/Nanomolar,1416438,>,1,1,>,,IC50,nM,,27542.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,nM,UO_0000065,,27542.0
16,,,6172483,[],CHEMBL1767806,Competitive inhibition of human ASK1,B,,,BAO_0000190,BAO_0000357,single protein format,CCOC(=O)c1c(O)nc2cccc3c2c1-c1ccccc1C3=O,,,CHEMBL1765037,J Med Chem,2011.0,"{'bei': '17.30', 'le': '0.31', 'lle': '2.19', 'sei': '7.22'}",CHEMBL1345690,,CHEMBL1345690,5.52,0,http://www.openphacts.org/units/Nanomolar,1418126,=,1,1,=,,IC50,nM,,3000.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,uM,UO_0000065,,3.0
17,,,6172484,[],CHEMBL1767806,Competitive inhibition of human ASK1,B,,,BAO_0000190,BAO_0000357,single protein format,CNc1c2c3c(cccc3n(C)c1=O)C(=O)c1ccccc1-2,,,CHEMBL1765037,J Med Chem,2011.0,"{'bei': '18.35', 'le': '0.33', 'lle': '2.54', 'sei': '10.43'}",CHEMBL1767077,,CHEMBL1767077,5.33,0,http://www.openphacts.org/units/Nanomolar,1418127,=,1,1,=,,IC50,nM,,4700.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,uM,UO_0000065,,4.7
18,,,6172485,[],CHEMBL1767806,Competitive inhibition of human ASK1,B,,,BAO_0000190,BAO_0000357,single protein format,CCNc1c2c3c(cccc3n(C)c1=O)C(=O)c1ccccc1-2,,,CHEMBL1765037,J Med Chem,2011.0,"{'bei': '16.43', 'le': '0.30', 'lle': '1.82', 'sei': '9.78'}",CHEMBL1767078,,CHEMBL1767078,5.00,0,http://www.openphacts.org/units/Nanomolar,1418128,=,1,1,=,,IC50,nM,,10000.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,uM,UO_0000065,,10.0
19,,,6172486,[],CHEMBL1767806,Competitive inhibition of human ASK1,B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)c1c(O)nc2cccc3c2c1-c1ccccc1C3=O,,,CHEMBL1765037,J Med Chem,2011.0,"{'bei': '16.67', 'le': '0.30', 'lle': '1.47', 'sei': '7.17'}",CHEMBL1529134,,CHEMBL1529134,4.82,0,http://www.openphacts.org/units/Nanomolar,1418118,=,1,1,=,,IC50,nM,,15000.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,uM,UO_0000065,,15.0
20,,,6172487,[],CHEMBL1767806,Competitive inhibition of human ASK1,B,,,BAO_0000190,BAO_0000357,single protein format,Cn1c(=O)c(NCCO)c2c3c(cccc31)C(=O)c1ccccc1-2,,,CHEMBL1765037,J Med Chem,2011.0,"{'bei': '14.37', 'le': '0.26', 'lle': '2.45', 'sei': '6.45'}",CHEMBL1767070,,CHEMBL1767070,4.60,0,http://www.openphacts.org/units/Nanomolar,1418119,=,1,1,=,,IC50,nM,,25000.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,uM,UO_0000065,,25.0
21,,,6172488,[],CHEMBL1767806,Competitive inhibition of human ASK1,B,,,BAO_0000190,BAO_0000357,single protein format,Cn1c(=O)c(C(=O)c2ccccc2)c2c3c(cccc31)C(=O)c1ccccc1-2,,,CHEMBL1765037,J Med Chem,2011.0,"{'bei': '12.20', 'le': '0.22', 'lle': '0.48', 'sei': '7.94'}",CHEMBL1767071,,CHEMBL1767071,4.46,0,http://www.openphacts.org/units/Nanomolar,1418120,=,1,1,=,,IC50,nM,,35000.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,uM,UO_0000065,,35.0
22,,,6172489,[],CHEMBL1767806,Competitive inhibition of human ASK1,B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)c1c2c3c(ccc(C)c3[nH]c1=O)C(=O)c1ccccc1-2,,,CHEMBL1765037,J Med Chem,2011.0,"{'bei': '14.69', 'le': '0.26', 'lle': '1.21', 'sei': '6.65'}",CHEMBL1767072,,CHEMBL1767072,4.46,0,http://www.openphacts.org/units/Nanomolar,1418121,=,1,1,=,,IC50,nM,,35000.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,uM,UO_0000065,,35.0
31,,,7939623,[],CHEMBL1921401,Inhibition of human ASK1,B,,,BAO_0000190,BAO_0000357,single protein format,[O-][n+]1ccc2c(-c3ccc(F)cc3Cl)ccnc2c1-c1c(Cl)cccc1Cl,,,CHEMBL1914450,J Med Chem,2011.0,,CHEMBL1916359,,CHEMBL1916359,,0,http://www.openphacts.org/units/Nanomolar,1558774,>,1,1,>,,IC50,nM,,10000.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,uM,UO_0000065,,10.0
32,,,7956234,[],CHEMBL1924897,Inhibition of N-terminus flag-tagged ASK1 expressed in baculovirus infected insect cells using [gamma33P]ATP as substrate after 60 mins by scintillation counting,B,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)(O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,,,CHEMBL1921673,J Med Chem,2011.0,,CHEMBL1614725,TAK-285,CHEMBL1614725,,0,http://www.openphacts.org/units/Nanomolar,1562080,>,1,1,>,,IC50,nM,,10000.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,nM,UO_0000065,,10000.0
33,,,7959675,[],CHEMBL1932328,Inhibition of ASK1,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C)CCN1CCN(C(=O)c2cc(C(C)(C)C)sc2NC(=O)Nc2cccc(Cl)c2Cl)CCC1=O,,,CHEMBL1926590,Bioorg Med Chem Lett,2011.0,,CHEMBL1929238,,CHEMBL1929238,,0,http://www.openphacts.org/units/Nanomolar,1566418,>,1,1,>,,IC50,nM,,30000.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,uM,UO_0000065,,30.0
34,,,7959676,[],CHEMBL1932328,Inhibition of ASK1,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,,,CHEMBL1926590,Bioorg Med Chem Lett,2011.0,,CHEMBL103667,DORAMAPIMOD,CHEMBL103667,,0,http://www.openphacts.org/units/Nanomolar,1566420,>,1,1,>,,IC50,nM,,30000.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,uM,UO_0000065,,30.0
35,,,8046165,[],CHEMBL1960379,Inhibition of ASK1,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(-c2ocnc2C(=O)NCc2ccncc2)cc1,,,CHEMBL1955730,Bioorg Med Chem Lett,2012.0,,CHEMBL1957085,,CHEMBL1957085,,0,http://www.openphacts.org/units/Nanomolar,1581576,>,1,1,>,,IC50,nM,,10000.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,uM,UO_0000065,,10.0
36,,,10949925,[],CHEMBL2049457,Inhibition of N-terminus FLAG-tagged ASK1 expressed in baculovirus expression system using [gamma-33P]-ATP measured after 60 mins by scintillation counting,B,,,BAO_0000190,BAO_0000019,assay format,CC(C)(N)C(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc5sncc45)c(Cl)c3)c21,,,CHEMBL2046372,J Med Chem,2012.0,,CHEMBL2048912,,CHEMBL2048912,,0,http://www.openphacts.org/units/Nanomolar,1654426,>,1,1,>,,IC50,nM,,10000.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,nM,UO_0000065,,10000.0
37,,,12036430,[],CHEMBL2150265,Inhibition of N-terminal FLAG-tagged ASK1 expressed in baculovirus after 5 mins by scintillation counter,B,,,BAO_0000190,BAO_0000019,assay format,CC(C)(C(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(Cl)c4)c(Cl)c3)c21)S(C)(=O)=O.Cc1ccc(S(=O)(=O)O)cc1,,,CHEMBL2146394,Bioorg Med Chem,2012.0,,CHEMBL2148053,,CHEMBL2148052,,0,http://www.openphacts.org/units/Nanomolar,1729144,>,1,1,>,,IC50,nM,,10000.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,nM,UO_0000065,,10000.0
38,,,12183860,[],CHEMBL2211528,Inhibition of MAP3K5,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)(C)NS(=O)(=O)c1cncc(-c2ccn3nc(N)nc3c2)c1,,,CHEMBL2203257,Bioorg Med Chem Lett,2012.0,,CHEMBL2205766,,CHEMBL2205766,,0,http://www.openphacts.org/units/Nanomolar,1759115,<,1,1,>,,IC50,nM,,10000.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,pIC50,,UO_0000065,,5.0
39,,,12194125,[],CHEMBL2214716,Competitive inhibition of human recombinant N-terminal FLAG-tagged ASK1 expressed in baculovirus infected Sf2 cells after 60 mins by scintillation counting analysis in presence of [gamma-33P]ATP,B,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)(O)c1ccc(C(=O)Nc2cn3cc(-n4ccnc4)ccc3n2)cc1,,,CHEMBL2203246,Bioorg Med Chem Lett,2012.0,"{'bei': '19.80', 'le': '0.36', 'lle': '4.15', 'sei': '8.47'}",CHEMBL2205636,,CHEMBL2205636,7.16,0,http://www.openphacts.org/units/Nanomolar,1758864,=,1,1,=,,IC50,nM,,70.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,nM,UO_0000065,,70.0
40,,,12194126,[],CHEMBL2214716,Competitive inhibition of human recombinant N-terminal FLAG-tagged ASK1 expressed in baculovirus infected Sf2 cells after 60 mins by scintillation counting analysis in presence of [gamma-33P]ATP,B,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)(CO)c1ccc(C(=O)Nc2cn3cc(-n4ccnc4)ccc3n2)cc1,,,CHEMBL2203246,Bioorg Med Chem Lett,2012.0,"{'bei': '19.96', 'le': '0.37', 'lle': '4.45', 'sei': '8.87'}",CHEMBL2205635,,CHEMBL2205635,7.50,0,http://www.openphacts.org/units/Nanomolar,1758863,=,1,1,=,,IC50,nM,,32.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,nM,UO_0000065,,32.0
42,,,12194128,[],CHEMBL2214716,Competitive inhibition of human recombinant N-terminal FLAG-tagged ASK1 expressed in baculovirus infected Sf2 cells after 60 mins by scintillation counting analysis in presence of [gamma-33P]ATP,B,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-n4cccc4)ccc3n2)cc1,,,CHEMBL2203246,Bioorg Med Chem Lett,2012.0,"{'bei': '20.99', 'le': '0.38', 'lle': '2.85', 'sei': '14.66'}",CHEMBL2205634,,CHEMBL2205634,7.52,0,http://www.openphacts.org/units/Nanomolar,1758861,=,1,1,=,,IC50,nM,,30.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,nM,UO_0000065,,30.0
43,,,12194129,[],CHEMBL2214716,Competitive inhibition of human recombinant N-terminal FLAG-tagged ASK1 expressed in baculovirus infected Sf2 cells after 60 mins by scintillation counting analysis in presence of [gamma-33P]ATP,B,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-c4cccnc4)ccc3n2)cc1,,,CHEMBL2203246,Bioorg Med Chem Lett,2012.0,"{'bei': '20.72', 'le': '0.37', 'lle': '2.73', 'sei': '12.95'}",CHEMBL2205633,,CHEMBL2205633,7.68,0,http://www.openphacts.org/units/Nanomolar,1758860,=,1,1,=,,IC50,nM,,21.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,nM,UO_0000065,,21.0
44,,,12194130,[],CHEMBL2214716,Competitive inhibition of human recombinant N-terminal FLAG-tagged ASK1 expressed in baculovirus infected Sf2 cells after 60 mins by scintillation counting analysis in presence of [gamma-33P]ATP,B,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-c4ccccc4)ccc3n2)cc1,,,CHEMBL2203246,Bioorg Med Chem Lett,2012.0,"{'bei': '19.18', 'le': '0.35', 'lle': '1.54', 'sei': '15.27'}",CHEMBL2205632,,CHEMBL2205632,7.09,0,http://www.openphacts.org/units/Nanomolar,1758859,=,1,1,=,,IC50,nM,,82.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,nM,UO_0000065,,82.0
45,,,12194131,[],CHEMBL2214716,Competitive inhibition of human recombinant N-terminal FLAG-tagged ASK1 expressed in baculovirus infected Sf2 cells after 60 mins by scintillation counting analysis in presence of [gamma-33P]ATP,B,,,BAO_0000190,BAO_0000219,cell-based format,CNCc1ccc2nc(NC(=O)c3ccc(C(C)(C)C)cc3)cn2c1,,,CHEMBL2203246,Bioorg Med Chem Lett,2012.0,"{'bei': '18.01', 'le': '0.33', 'lle': '2.46', 'sei': '10.37'}",CHEMBL2205631,,CHEMBL2205631,6.06,0,http://www.openphacts.org/units/Nanomolar,1758858,=,1,1,=,,IC50,nM,,870.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,nM,UO_0000065,,870.0
46,,,12194132,[],CHEMBL2214716,Competitive inhibition of human recombinant N-terminal FLAG-tagged ASK1 expressed in baculovirus infected Sf2 cells after 60 mins by scintillation counting analysis in presence of [gamma-33P]ATP,B,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)(C)c1ccc(C(=O)Nc2cn3cc(CO)ccc3n2)cc1,,,CHEMBL2203246,Bioorg Med Chem Lett,2012.0,"{'bei': '21.30', 'le': '0.39', 'lle': '3.51', 'sei': '10.34'}",CHEMBL2205630,,CHEMBL2205630,6.89,0,http://www.openphacts.org/units/Nanomolar,1758857,=,1,1,=,,IC50,nM,,129.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,nM,UO_0000065,,129.0
47,,,12194133,[],CHEMBL2214716,Competitive inhibition of human recombinant N-terminal FLAG-tagged ASK1 expressed in baculovirus infected Sf2 cells after 60 mins by scintillation counting analysis in presence of [gamma-33P]ATP,B,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)(C)c1ccc(C(=O)Nc2cn3cc(Br)ccc3n2)cc1,,,CHEMBL2203246,Bioorg Med Chem Lett,2012.0,"{'bei': '20.62', 'le': '0.46', 'lle': '3.03', 'sei': '16.55'}",CHEMBL2205629,,CHEMBL2205629,7.68,0,http://www.openphacts.org/units/Nanomolar,1758856,=,1,1,=,,IC50,nM,,21.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,nM,UO_0000065,,21.0
48,,,12194134,[],CHEMBL2214716,Competitive inhibition of human recombinant N-terminal FLAG-tagged ASK1 expressed in baculovirus infected Sf2 cells after 60 mins by scintillation counting analysis in presence of [gamma-33P]ATP,B,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)(C)c1ccc(C(=O)Nc2cn3cc(Cl)ccc3n2)cc1,,,CHEMBL2203246,Bioorg Med Chem Lett,2012.0,"{'bei': '23.78', 'le': '0.46', 'lle': '3.26', 'sei': '16.80'}",CHEMBL2205628,,CHEMBL2205628,7.80,0,http://www.openphacts.org/units/Nanomolar,1758855,=,1,1,=,,IC50,nM,,16.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,nM,UO_0000065,,16.0
49,,,12194135,[],CHEMBL2214716,Competitive inhibition of human recombinant N-terminal FLAG-tagged ASK1 expressed in baculovirus infected Sf2 cells after 60 mins by scintillation counting analysis in presence of [gamma-33P]ATP,B,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)(C)c1ccc(C(=O)Nc2cn3cc(F)ccc3n2)cc1,,,CHEMBL2203246,Bioorg Med Chem Lett,2012.0,"{'bei': '23.99', 'le': '0.44', 'lle': '3.45', 'sei': '16.10'}",CHEMBL2205627,,CHEMBL2205627,7.47,0,http://www.openphacts.org/units/Nanomolar,1758854,=,1,1,=,,IC50,nM,,34.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,nM,UO_0000065,,34.0
50,,,12194136,[],CHEMBL2214716,Competitive inhibition of human recombinant N-terminal FLAG-tagged ASK1 expressed in baculovirus infected Sf2 cells after 60 mins by scintillation counting analysis in presence of [gamma-33P]ATP,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1ccc2nc(NC(=O)c3ccc(C(C)(C)C)cc3)cn2c1,,,CHEMBL2203246,Bioorg Med Chem Lett,2012.0,"{'bei': '24.91', 'le': '0.45', 'lle': '3.47', 'sei': '16.50'}",CHEMBL2205626,,CHEMBL2205626,7.66,0,http://www.openphacts.org/units/Nanomolar,1758853,=,1,1,=,,IC50,nM,,22.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,nM,UO_0000065,,22.0
51,,,12194137,[],CHEMBL2214716,Competitive inhibition of human recombinant N-terminal FLAG-tagged ASK1 expressed in baculovirus infected Sf2 cells after 60 mins by scintillation counting analysis in presence of [gamma-33P]ATP,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1ccc2nc(NC(=O)c3ccc(C(C)(C)C)cc3)sc2c1,,,CHEMBL2203246,Bioorg Med Chem Lett,2012.0,"{'bei': '20.30', 'le': '0.39', 'lle': '1.44', 'sei': '15.68'}",CHEMBL2205625,,CHEMBL2205625,6.58,0,http://www.openphacts.org/units/Nanomolar,1758852,=,1,1,=,,IC50,nM,,260.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,nM,UO_0000065,,260.0
